PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010100001,-4.76444700000,13.61471800000,Madimba,Bouenza,Congo
CG010100002,-4.76444700000,13.61471800000,Midimba,Bouenza,Congo
CG010100003,-4.70778000000,13.63916900000,Kitidi-Tounga,Bouenza,Congo
CG010100004,-4.70778000000,13.63916900000,Manzaou,Bouenza,Congo
CG010100005,-4.68444300000,13.63305800000,Manzaou,Bouenza,Congo
CG010100006,-4.62110900000,13.62971900000,Minga,Bouenza,Congo
CG010100007,-4.58611300000,13.67500400000,Loukosi,Bouenza,Congo
CG010100008,-4.61110800000,13.59333400000,Hidi,Bouenza,Congo
CG010100009,-4.56083500000,13.70027700000,Bouadi,Bouenza,Congo
CG010100010,-4.61305500000,13.53194300000,Nzangi,Bouenza,Congo
CG010100011,-4.61305500000,13.53194300000,Zanghi,Bouenza,Congo
CG010100012,-4.59638500000,13.53999900000,Nzangi,Bouenza,Congo
CG010100013,-4.53332900000,13.71471900000,Kinzoundou,Bouenza,Congo
CG010100014,-4.53389100000,13.70500300000,Kinkengue,Bouenza,Congo
CG010100015,-4.52667100000,13.71389300000,Kimbinda,Bouenza,Congo
CG010100016,-4.51888900000,13.71694400000,Kinanga-Makasa,Bouenza,Congo
CG010100017,-4.58528100000,13.50138500000,Kinzambi,Bouenza,Congo
CG010100018,-4.52249800000,13.67667000000,Minga,Bouenza,Congo
CG010100019,-4.58361100000,13.48555400000,Kabadisou,Bouenza,Congo
CG010100020,-4.50194700000,13.71610800000,Kimbinda-Kikouangou,Bouenza,Congo
CG010100021,-4.57888600000,13.47500200000,Manzakala,Bouenza,Congo
CG010100022,-4.53333300000,13.60000200000,Kimbenza,Bouenza,Congo
CG010100023,-4.53305800000,13.57972500000,Mankala,Bouenza,Congo
CG010100024,-4.53333400000,13.55000300000,Knanga Ntaki,Bouenza,Congo
CG010100025,-4.47583700000,13.70638500000,Kingondala-Tsanga,Bouenza,Congo
CG010100026,-4.47389100000,13.69555700000,Kinanga,Bouenza,Congo
CG010100027,-4.47694800000,13.65083500000,Kingonda,Bouenza,Congo
CG010100028,-4.52472600000,13.50194300000,Boua-Boua,Bouenza,Congo
CG010100029,-4.44805500000,13.72861100000,Kingoye-Loukala,Bouenza,Congo
CG010100030,-4.45666600000,13.66777800000,Misasa,Bouenza,Congo
CG010100031,-4.44721800000,13.69500000000,Kimbaoka,Bouenza,Congo
CG010100032,-4.45055200000,13.67778200000,Kinanga-Boutandou,Bouenza,Congo
CG010100033,-4.45944200000,13.64305400000,Kingondala,Bouenza,Congo
CG010100034,-4.42166600000,13.71972600000,Kinanga-Kenge,Bouenza,Congo
CG010100035,-4.44389300000,13.61750000000,Kikouangou,Bouenza,Congo
CG010100036,-4.50583200000,13.42444000000,Kisenga,Bouenza,Congo
CG010100037,-4.50583200000,13.42444000000,Kissenga,Bouenza,Congo
CG010100038,-4.43888700000,13.62444800000,Kongozoba,Bouenza,Congo
CG010100039,-4.42833700000,13.65666400000,Dziengele,Bouenza,Congo
CG010100040,-4.44361000000,13.60667000000,Kindoulou,Bouenza,Congo
CG010100041,-4.43722500000,13.62110800000,Boko Songho,Bouenza,Congo
CG010100042,-4.43722500000,13.62110800000,Boko Songo,Bouenza,Congo
CG010100043,-4.43833700000,13.60611200000,Kimbaoka,Bouenza,Congo
CG010100044,-4.42694800000,13.63888800000,Kinanga,Bouenza,Congo
CG010100045,-4.50416500000,13.38583200000,Soukou-Bouadi,Bouenza,Congo
CG010100046,-4.49805900000,13.37694300000,Mbanza-Kiniati,Bouenza,Congo
CG010100047,-4.34583500000,13.64638700000,Tanga,Bouenza,Congo
CG010100048,-4.33694000000,13.63416700000,Panga,Bouenza,Congo
CG010100049,-4.33333500000,13.64111100000,Nkenge-Mandou,Bouenza,Congo
CG010100050,-4.33166500000,13.61805800000,Mayanama,Bouenza,Congo
CG010100051,-4.32416800000,13.60861200000,Kinsaka,Bouenza,Congo
CG010200001,-3.97889300000,14.35861200000,Ngandoulou,Bouenza,Congo
CG010200002,-3.94777400000,14.37027400000,Moukousouna,Bouenza,Congo
CG010200003,-3.97305800000,14.24083400000,Nkoto,Bouenza,Congo
CG010200004,-3.90583200000,14.28749600000,Moazenge,Bouenza,Congo
CG010200005,-3.88888500000,14.31583600000,Dzanza,Bouenza,Congo
CG010200006,-3.93583000000,14.14471800000,Mikokoto,Bouenza,Congo
CG010200007,-3.93778100000,14.13333200000,Ngoukou,Bouenza,Congo
CG010200008,-3.93388600000,14.12833700000,Kinkoula,Bouenza,Congo
CG010200009,-3.89778000000,14.24500000000,Banbami,Bouenza,Congo
CG010200010,-3.88777500000,14.23472300000,Bansilisi,Bouenza,Congo
CG010200011,-3.88777500000,14.23472300000,Bantsielissi,Bouenza,Congo
CG010200012,-3.90805700000,14.12527400000,Kimbousi,Bouenza,Congo
CG010200013,-3.88277700000,14.21027500000,Matiti,Bouenza,Congo
CG010200014,-3.87055700000,14.19222000000,Maleke,Bouenza,Congo
CG010200015,-3.88805400000,14.12250300000,Kambo,Bouenza,Congo
CG010200016,-3.88361400000,14.12416500000,Kintouari,Bouenza,Congo
CG010200017,-3.85916700000,14.17277800000,Kintouari,Bouenza,Congo
CG010200018,-3.86333300000,14.09778000000,Kibiti,Bouenza,Congo
CG010200019,-3.84305800000,14.10361000000,Pandi,Bouenza,Congo
CG010200020,-3.86083400000,14.02250300000,Kintsoko,Bouenza,Congo
CG010200021,-3.85333400000,14.00583300000,Kingomo,Bouenza,Congo
CG010200022,-3.83528000000,14.06221900000,Kibiti,Bouenza,Congo
CG010200023,-3.81666400000,14.07917000000,Kitiomo,Bouenza,Congo
CG010200024,-3.81833100000,14.06444400000,Kibamba,Bouenza,Congo
CG010200025,-3.80722400000,14.09972100000,Zabata,Bouenza,Congo
CG010200026,-3.80722400000,14.09972100000,Zabeta,Bouenza,Congo
CG010200027,-3.79583600000,14.10083200000,Banziele,Bouenza,Congo
