PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010100001,-4.764447,13.614718,Madimba,Bouenza,Congo
CG010100002,-4.764447,13.614718,Midimba,Bouenza,Congo
CG010100003,-4.70778,13.639169,Kitidi-Tounga,Bouenza,Congo
CG010100004,-4.70778,13.639169,Manzaou,Bouenza,Congo
CG010100005,-4.684443,13.633058,Minga,Bouenza,Congo
CG010100006,-4.621109,13.629719,Loukosi,Bouenza,Congo
CG010100007,-4.586113,13.675004,Hidi,Bouenza,Congo
CG010100008,-4.611108,13.593334,Bouadi,Bouenza,Congo
CG010100009,-4.560835,13.700277,Nzangi,Bouenza,Congo
CG010100010,-4.613055,13.531943,Zanghi,Bouenza,Congo
CG010100011,-4.613055,13.531943,Kinzoundou,Bouenza,Congo
CG010100012,-4.596385,13.539999,Kinkengue,Bouenza,Congo
CG010100013,-4.533329,13.714719,Kimbinda,Bouenza,Congo
CG010100014,-4.533891,13.705003,Kinanga-Makasa,Bouenza,Congo
CG010100015,-4.526671,13.713893,Kinzambi,Bouenza,Congo
CG010100016,-4.518889,13.716944,Kabadisou,Bouenza,Congo
CG010100017,-4.585281,13.501385,Kimbinda-Kikouangou,Bouenza,Congo
CG010100018,-4.522498,13.67667,Manzakala,Bouenza,Congo
CG010100019,-4.583611,13.485554,Kimbenza,Bouenza,Congo
CG010100020,-4.501947,13.716108,Mankala,Bouenza,Congo
CG010100021,-4.578886,13.475002,Knanga Ntaki,Bouenza,Congo
CG010100022,-4.533333,13.600002,Kingondala-Tsanga,Bouenza,Congo
CG010100023,-4.533058,13.579725,Kinanga,Bouenza,Congo
CG010100024,-4.533334,13.550003,Kingonda,Bouenza,Congo
CG010100025,-4.475837,13.706385,Boua-Boua,Bouenza,Congo
CG010100026,-4.473891,13.695557,Kingoye-Loukala,Bouenza,Congo
CG010100027,-4.476948,13.650835,Misasa,Bouenza,Congo
CG010100028,-4.524726,13.501943,Kimbaoka,Bouenza,Congo
CG010100029,-4.448055,13.728611,Kinanga-Boutandou,Bouenza,Congo
CG010100030,-4.456666,13.667778,Kingondala,Bouenza,Congo
CG010100031,-4.447218,13.695,Kinanga-Kenge,Bouenza,Congo
CG010100032,-4.450552,13.677782,Kikouangou,Bouenza,Congo
CG010100033,-4.459442,13.643054,Kisenga,Bouenza,Congo
CG010100034,-4.421666,13.719726,Kissenga,Bouenza,Congo
CG010100035,-4.443893,13.6175,Kongozoba,Bouenza,Congo
CG010100036,-4.505832,13.42444,Dziengele,Bouenza,Congo
CG010100037,-4.505832,13.42444,Kindoulou,Bouenza,Congo
CG010100038,-4.438887,13.624448,Boko Songho,Bouenza,Congo
CG010100039,-4.428337,13.656664,Boko Songo,Bouenza,Congo
CG010100040,-4.44361,13.60667,Soukou-Bouadi,Bouenza,Congo
CG010100041,-4.437225,13.621108,Mbanza-Kiniati,Bouenza,Congo
CG010100042,-4.437225,13.621108,Tanga,Bouenza,Congo
CG010100043,-4.438337,13.606112,Panga,Bouenza,Congo
CG010100044,-4.426948,13.638888,Nkenge-Mandou,Bouenza,Congo
CG010100045,-4.504165,13.385832,Mayanama,Bouenza,Congo
CG010100046,-4.498059,13.376943,Kinsaka,Bouenza,Congo
